GATES;44002;5450;0
CHRYSLER;5184651AH;2800;4
POWER STOP;171058;2750;0
CHRYSLER;68158680AB;7200;0
NGK;92145;630;7
STANDARD;LDP12;1700;1
DORMAN;HW7435;1100;1
MOOG;68291037AA;5400;3
MONROE;72931;5000;0
CONTINENTAL;49024;950;4
CHRYSLER;68087340AA;1024;1
CHRYSLER;5047897AC;6000;1
STANDARD;V500;2200;5
ELRING;692760;200;0
GATES;EMH920;2700;2
CHRYSLER;5184455AJ;1300;8
CHRYSLER;68105583AB;11000;0
CHRYSLER;52124767AE;6500;0
POWER STOP;171640A;2600;3
TRAKMOTIVE;CH8252;6000;0
CSF;10769;5800;0
POWER STOP;171904A;2700;0
POWER STOP;171056;2600;0
MOOG;68282328AA;5400;2
DORMAN;926188;1900;2
CHRYSLER;53021335AE;2800;1
CLOYES;90511S;20100;2
CHRYSLER;05047913AC;25700;1
CHRYSLER;4893804AB;990;9
MOOG;K750579;1700;0
CHRYSLER;68244867AA;7200;0
WAGNER;BD180433E;4500;0
CHRYSLER;5184454AE;800;0
NGK;94705;550;14
TRAKMOTIVE;CH8373;8600;0
MOOG;ES801426;2800;0
DAYCO;5060805;1200;2
CHRYSLER;68311108AE;10500;0
MONROE;72930;5000;0
DORMAN;926959;13200;0
POWER STOP;Z231904A;3400;0
KAYABA;3417508;5500;0
CSF;3912;6300;1
CHRYSLER;68334877AA;2400;0
CHRYSLER;68282328AA;9200;0
NGK;93175;550;18
CHRYSLER;4627694AB;2900;3
CHRYSLER;4892339AB;550;11
DORMAN;9023036XD;2600;3
CHRYSLER;68544611AG;12600;0
ANCHOR;3380;5250;1
CHRYSLER;68284905AA;2900;4
CHRYSLER;5169313AA;2840;4
POWER STOP;171843;2600;0
GATES;34053;920;2
MOOG;K750578;1700;0
CHRYSLER;5281266AA;4700;0
ANCHOR;3495;5700;1
BOSCH;5435WS;780;5
CHRYSLER;4861959AC;3700;3
TRAKMOTIVE;CH86003;12100;0
CHRYSLER;68240438AA;4400;1
MOOG;ES801427;2800;0
MAHLE;VS50914;1400;4
ANCHOR;3580;2300;1
CHRYSLER;5281825AA;5700;2
WAGNER;ZD1734;1880;0
CHRYSLER;68346915AA;11900;2
FEL-PRO;ES73046;1600;0
FOUR SEASONS;86340;3000;0
BOSCH;0221504046;1350;0
CHRYSLER;68079375AC;2800;2
TIMKEN;HA590419;5600;0
CHRYSLER;68078604AA;1450;1
STANDARD;VVT359;2600;1
MOOG;RK623639;5400;2
NGK;LFR5AHX;550;3
STANDARD;LDP13;1900;1
CHRYSLER;4861959AD;3900;3
POWER STOP;171734;2600;4
MONROE;902115;800;2
CHRYSLER;68330541AA;3850;0
CHRYSLER;68270565AB;12800;1
STANDARD;CP796;2250;2
CHRYSLER;68245707AD;1700;6
KAYABA;3417507;5500;0
CHRYSLER;68542769AA;1450;2
DORMAN;594405;4200;2
FVP;F4313;650;2
CSF;3760;5700;1
CHRYSLER;5047901AC;6300;2
CHRYSLER;4893786AA;950;0
POWER STOP;171498;3200;3
